network,node1,node2,shortest_path,distance,path_in_N_networks,edge_weight,edge_betweenness
hetero,214,514,"[214, 318, 514]",2,1,,
hetero,214,316,"[214, 319, 112, 111, 316]",4,1,,
all,213,214,"[213, 318, 214]",2,1,1.0,0.04112388250319285
hetero,213,311,"[213, 214, 311]",2,1,,
hetero,213,312,"[213, 214, 311, 312]",3,1,,
hetero,213,313,"[213, 310, 319, 112, 318, 313]",5,1,,
hetero,213,314,"[213, 310, 319, 112, 111, 314]",5,1,,
hetero,213,319,"[213, 310, 319]",2,1,,
all,213,415,"[213, 415]",1,1,1.0,0.06206896551724138
hetero,213,419,"[213, 318, 116, 419]",3,1,,
hetero,213,510,"[213, 318, 510]",2,1,,
hetero,213,316,"[213, 310, 319, 112, 111, 316]",5,1,,
hetero,211,213,"[211, 110, 213]",2,1,,
hetero,211,214,"[211, 110, 318, 214]",3,1,,
hetero,211,310,"[211, 110, 213, 310]",3,1,,
hetero,211,311,"[211, 110, 214, 311]",3,1,,
hetero,211,312,"[211, 110, 214, 311, 312]",4,1,,
hetero,211,313,"[211, 514, 313]",2,1,,
hetero,211,314,"[211, 111, 314]",2,1,,
hetero,211,318,"[211, 110, 318]",2,1,,
hetero,211,319,"[211, 112, 319]",2,1,,
hetero,211,415,"[211, 110, 213, 415]",3,1,,
hetero,211,418,"[211, 110, 418]",2,1,,
hetero,211,419,"[211, 110, 318, 116, 419]",4,1,,
hetero,211,510,"[211, 110, 318, 510]",3,1,,
hetero,211,511,"[211, 110, 511]",2,1,,
hetero,211,316,"[211, 111, 316]",2,1,,
hetero,125,213,"[125, 211, 110, 213]",3,1,,
hetero,125,214,"[125, 211, 112, 214]",3,1,,
hetero,125,310,"[125, 211, 110, 213, 310]",4,1,,
hetero,125,311,"[125, 211, 110, 214, 311]",4,1,,
hetero,125,312,"[125, 211, 110, 214, 311, 312]",5,1,,
hetero,125,313,"[125, 211, 514, 313]",3,1,,
hetero,125,314,"[125, 211, 111, 314]",3,1,,
hetero,125,318,"[125, 211, 111, 318]",3,1,,
hetero,125,319,"[125, 211, 112, 319]",3,1,,
hetero,125,415,"[125, 211, 110, 213, 415]",4,1,,
hetero,125,418,"[125, 211, 110, 418]",3,1,,
hetero,125,419,"[125, 211, 110, 318, 116, 419]",5,1,,
hetero,125,510,"[125, 211, 110, 510]",3,1,,
hetero,125,511,"[125, 211, 110, 511]",3,1,,
hetero,125,514,"[125, 211, 111, 514]",3,1,,
hetero,125,316,"[125, 211, 111, 316]",3,1,,
hetero,124,125,"[124, 116, 318, 110, 211, 125]",5,1,,
hetero,124,211,"[124, 116, 318, 110, 211]",4,1,,
hetero,124,213,"[124, 116, 318, 213]",3,1,,
hetero,124,214,"[124, 116, 318, 214]",3,1,,
hetero,124,310,"[124, 116, 318, 213, 310]",4,1,,
hetero,124,311,"[124, 116, 318, 214, 311]",4,1,,
hetero,124,312,"[124, 116, 318, 214, 311, 312]",5,1,,
hetero,124,313,"[124, 116, 318, 313]",3,1,,
hetero,124,314,"[124, 116, 510, 314]",3,1,,
hetero,124,318,"[124, 116, 318]",2,1,,
hetero,124,319,"[124, 116, 318, 112, 319]",4,1,,
hetero,124,415,"[124, 116, 318, 213, 415]",4,1,,
hetero,124,418,"[124, 116, 318, 110, 418]",4,1,,
hetero,124,419,"[124, 116, 419]",2,1,,
hetero,124,510,"[124, 116, 510]",2,1,,
hetero,124,511,"[124, 116, 318, 110, 511]",4,1,,
hetero,124,514,"[124, 116, 318, 514]",3,1,,
hetero,122,124,"[122, 114, 510, 116, 124]",4,1,,
hetero,122,125,"[122, 114, 111, 211, 125]",4,1,,
